host_total_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
1.0,7,6,37.76297967565378,-122.43136441227804,0,0,2.0,1.0,1.0,1.0,0,30.0,128.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
2.0,4,1,37.76097556330237,-122.4215807919612,5,0,4.0,1.0,1.0,2.0,0,1.0,20.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,199.0
1.0,9,8,37.77930831937839,-122.50518320762502,1,1,4.0,1.0,1.0,1.0,0,2.0,31.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
4.0,7,6,37.761259149504504,-122.43729222964022,0,0,5.0,2.0,2.0,2.0,0,30.0,2.0,90.0,9.0,10.0,10.0,10.0,10.0,9.0,325.0
1.0,1,1,37.740254505653716,-122.41259087293635,0,0,2.0,1.0,1.0,2.0,0,30.0,92.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,150.0
1.0,10,9,37.798346824645584,-122.4046102140624,0,0,2.0,1.0,1.0,1.0,0,4.0,27.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0
4.0,5,4,37.76514606125046,-122.39750094268479,1,0,2.0,1.0,1.0,1.0,0,1.0,555.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,220.0
4.0,5,4,37.76525618558157,-122.39730470636793,1,0,2.0,1.0,1.0,1.0,0,1.0,500.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,220.0
2.0,11,10,37.78197461686888,-122.45809229686044,1,1,2.0,1.0,1.0,1.0,0,2.0,175.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,115.0
1.0,12,11,37.790813281468324,-122.41402564570649,0,0,2.0,1.0,1.0,1.0,0,3.0,61.0,95.0,10.0,9.0,10.0,10.0,10.0,10.0,150.0
35.0,8,1,37.74830167460932,-122.4248849594586,5,0,2.0,1.0,1.0,2.0,0,30.0,20.0,96.0,9.0,10.0,10.0,10.0,10.0,9.0,107.0
3.0,7,6,37.76125009086864,-122.43335472254522,1,0,3.0,1.0,1.0,1.0,0,4.0,36.0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,159.0
1.0,1,1,37.74082733936336,-122.4176300810205,4,1,2.0,2.0,1.0,1.0,0,2.0,183.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
1.0,4,1,37.75610669111234,-122.41866188454807,0,0,4.0,1.0,2.0,2.0,0,3.0,63.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,290.0
1.0,13,7,37.735568322107156,-122.43301594389571,1,0,3.0,1.0,0.0,2.0,0,1.0,145.0,89.0,9.0,9.0,9.0,9.0,9.0,9.0,126.0
1.0,12,11,37.79001328977593,-122.4129160022777,0,0,3.0,1.0,1.0,1.0,0,30.0,12.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
35.0,1,1,37.73355829915958,-122.41851323779981,0,0,2.0,1.0,0.0,2.0,0,30.0,6.0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
35.0,1,1,37.734043600057895,-122.41781290096887,1,0,2.0,1.0,1.0,2.0,0,30.0,4.0,87.0,9.0,8.0,10.0,10.0,8.0,7.0,85.0
1.0,4,1,37.751170938173885,-122.41325858403587,0,0,2.0,1.5,1.0,1.0,1,12.0,8.0,89.0,9.0,8.0,10.0,10.0,10.0,9.0,92.0
35.0,5,4,37.75447178428228,-122.38813183068281,3,0,4.0,1.0,2.0,2.0,0,30.0,2.0,80.0,5.0,8.0,10.0,8.0,7.0,8.0,150.0
35.0,14,7,37.751912641743786,-122.44385363370671,0,0,2.0,1.0,1.0,2.0,0,30.0,5.0,88.0,9.0,9.0,10.0,10.0,8.0,8.0,117.0
35.0,2,0,37.77271620117503,-122.44083686596025,3,0,3.0,1.0,2.0,2.0,0,30.0,7.0,65.0,8.0,8.0,7.0,8.0,7.0,7.0,120.0
3.0,7,6,37.76068103780288,-122.4333062776897,0,0,2.0,1.0,0.0,2.0,0,3.0,100.0,94.0,9.0,9.0,10.0,10.0,10.0,9.0,149.0
3.0,0,0,37.772481096265956,-122.43016127970861,6,1,2.0,3.0,1.0,1.0,0,2.0,38.0,94.0,9.0,10.0,9.0,9.0,10.0,9.0,125.0
2.0,15,12,37.771163291931664,-122.42199475971246,0,1,2.0,1.0,1.0,1.0,0,2.0,143.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,180.0
9.0,16,11,37.79311697274764,-122.42599835412354,0,1,1.0,0.0,1.0,1.0,0,30.0,158.0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,55.0
3.0,14,7,37.75253496760988,-122.45115051946892,1,1,2.0,1.0,1.0,1.0,0,2.0,40.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,149.0
1.0,12,9,37.79666781067421,-122.4127171205569,0,1,1.0,1.0,1.0,1.0,0,30.0,164.0,89.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0
9.0,16,11,37.791664463998366,-122.42649785318217,0,0,2.0,1.0,1.0,1.0,0,30.0,32.0,92.0,9.0,9.0,10.0,10.0,10.0,9.0,115.0
1.0,0,3,37.786288923650815,-122.43956576202952,1,1,3.0,1.0,1.0,1.0,0,30.0,266.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,132.0
9.0,16,11,37.7921566860583,-122.42458175015634,0,1,1.0,1.0,1.0,1.0,0,30.0,117.0,92.0,9.0,8.0,10.0,10.0,10.0,9.0,63.0
2.0,6,11,37.788155136094325,-122.41721599062313,0,0,4.0,1.0,2.0,2.0,0,5.0,69.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,187.0
3.0,14,7,37.75335072510413,-122.45095419663285,1,1,2.0,1.0,1.0,1.0,0,2.0,43.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,109.0
1.0,1,1,37.7472029202085,-122.41443017005629,0,0,2.0,1.0,1.0,1.0,0,2.0,199.0,92.0,10.0,9.0,10.0,9.0,9.0,9.0,175.0
4.0,4,1,37.75762488503674,-122.41932566984038,0,1,1.0,1.0,1.0,1.0,0,2.0,83.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,99.0
1.0,15,12,37.77697890439628,-122.41046863491385,0,0,2.0,1.0,2.0,1.0,0,30.0,124.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,225.0
1.0,8,7,37.7456548107698,-122.42864380484687,0,0,2.0,1.0,1.0,1.0,0,2.0,243.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
4.0,17,9,37.80310149636795,-122.41595794952552,6,1,4.0,1.0,1.0,1.0,0,2.0,176.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,109.0
2.0,1,1,37.74208535134401,-122.41408795198384,7,1,2.0,1.0,1.0,1.0,1,2.0,174.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
2.0,10,9,37.80240771165711,-122.40925349201657,0,1,2.0,2.0,1.0,1.0,0,2.0,157.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
2.0,13,7,37.74182582587041,-122.42993120028235,0,1,1.0,1.0,1.0,1.0,0,2.0,28.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,120.0
1.0,4,1,37.762454996151355,-122.42432107362413,1,0,6.0,2.5,3.0,4.0,0,3.0,42.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,810.0
4.0,4,1,37.749257791368365,-122.4139751902205,3,0,2.0,1.0,1.0,1.0,0,2.0,249.0,92.0,9.0,9.0,10.0,9.0,9.0,9.0,149.0
4.0,4,1,37.75399608902932,-122.41770632143597,3,0,2.0,1.0,1.0,1.0,0,2.0,174.0,94.0,9.0,9.0,10.0,10.0,10.0,9.0,125.0
1.0,7,6,37.760958695031086,-122.432199269292,0,0,6.0,1.0,2.0,3.0,0,3.0,77.0,96.0,9.0,9.0,10.0,10.0,10.0,9.0,225.0
1.0,18,8,37.77797943313199,-122.47812392128415,0,0,2.0,1.0,0.0,1.0,0,30.0,94.0,83.0,9.0,9.0,10.0,9.0,9.0,8.0,100.0
35.0,9,8,37.777186052227385,-122.50906016719797,0,0,4.0,2.0,3.0,4.0,0,30.0,12.0,96.0,9.0,10.0,10.0,10.0,9.0,9.0,216.0
7.0,4,1,37.754257255490174,-122.42386605698998,0,0,4.0,1.0,1.0,1.0,0,31.0,34.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,326.0
39.0,19,13,37.730268018808246,-122.42644319164599,1,1,2.0,1.0,1.0,1.0,0,30.0,38.0,91.0,9.0,9.0,10.0,9.0,9.0,9.0,46.0
39.0,19,13,37.73128161034925,-122.42478400335014,1,1,2.0,1.0,1.0,1.0,0,30.0,26.0,82.0,8.0,8.0,8.0,9.0,8.0,8.0,46.0
35.0,20,8,37.77706906926253,-122.50923187258286,0,0,4.0,2.0,3.0,3.0,0,30.0,7.0,93.0,9.0,8.0,9.0,9.0,9.0,8.0,170.0
1.0,2,0,37.76629490097711,-122.4474438606795,0,0,2.0,1.0,1.0,1.0,0,7.0,29.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,225.0
21.0,21,14,37.79446982345703,-122.40450489784357,8,2,1.0,1.0,1.0,1.0,0,1.0,273.0,91.0,9.0,9.0,10.0,10.0,10.0,9.0,38.0
1.0,1,1,37.74577518746264,-122.40841196868365,1,1,2.0,1.0,1.0,1.0,0,2.0,58.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,109.0
10.0,0,0,37.77518124796752,-122.43334092158027,0,0,8.0,1.0,1.0,4.0,0,30.0,62.0,89.0,9.0,9.0,10.0,9.0,10.0,9.0,100.0
21.0,21,14,37.79308771358162,-122.40443145073387,8,2,2.0,1.0,1.0,1.0,0,1.0,271.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,38.0
39.0,19,13,37.73137082430299,-122.4253180558438,1,1,2.0,1.0,1.0,1.0,0,30.0,31.0,87.0,9.0,8.0,9.0,9.0,8.0,9.0,42.0
39.0,19,13,37.73127948759723,-122.424726996644,1,1,1.0,1.0,1.0,1.0,0,30.0,8.0,100.0,9.0,9.0,10.0,10.0,9.0,9.0,36.0
39.0,19,13,37.7304802544081,-122.42493583612392,1,1,2.0,1.0,1.0,1.0,0,30.0,29.0,93.0,9.0,8.0,9.0,10.0,8.0,9.0,44.0
1.0,13,7,37.73838179478437,-122.43375157200887,1,0,2.0,1.0,1.0,1.0,0,3.0,220.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
39.0,19,13,37.73133675895826,-122.42456556245135,1,1,3.0,1.0,1.0,1.0,0,30.0,18.0,77.0,7.0,7.0,8.0,8.0,8.0,8.0,49.0
4.0,4,1,37.756154097298165,-122.41927153123532,0,1,1.0,2.0,1.0,1.0,0,2.0,60.0,96.0,9.0,9.0,10.0,10.0,9.0,9.0,75.0
39.0,19,13,37.73152154309599,-122.42547026238549,1,1,3.0,1.0,1.0,1.0,0,30.0,19.0,78.0,8.0,7.0,8.0,9.0,8.0,8.0,37.0
2.0,1,1,37.73429819825516,-122.42092134075445,1,1,2.0,1.0,1.0,1.0,0,2.0,319.0,92.0,9.0,9.0,10.0,10.0,9.0,9.0,82.0
1.0,0,3,37.78528002426264,-122.44358154469022,6,1,1.0,1.0,1.0,1.0,0,1.0,73.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,90.0
35.0,9,8,37.77482553661235,-122.50951808088368,0,0,2.0,1.0,0.0,1.0,0,30.0,6.0,100.0,10.0,10.0,9.0,9.0,9.0,9.0,85.0
1.0,8,7,37.74549596568911,-122.42898445047335,3,1,2.0,1.0,1.0,1.0,0,2.0,283.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,115.0
1.0,2,0,37.761935772488144,-122.4492861428232,0,0,6.0,1.5,2.0,4.0,0,3.0,93.0,94.0,9.0,9.0,10.0,10.0,10.0,9.0,300.0
9.0,16,11,37.79175618189418,-122.42475524420391,0,1,1.0,1.0,1.0,1.0,0,30.0,128.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,59.0
1.0,4,12,37.76808630516504,-122.42439033142362,0,0,4.0,1.0,2.0,2.0,0,5.0,11.0,98.0,10.0,10.0,9.0,10.0,10.0,10.0,185.0
1.0,4,1,37.75629055903744,-122.42517753276407,0,0,5.0,2.0,3.0,3.0,0,6.0,9.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,450.0
35.0,8,1,37.74877853078538,-122.42615778812177,3,0,2.0,1.0,1.0,2.0,0,30.0,14.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,120.0
1.0,22,2,37.733273653544636,-122.46434558077837,1,1,4.0,1.0,2.0,2.0,0,2.0,278.0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,125.0
1.0,23,15,37.71548671668391,-122.38922416156312,1,0,4.0,1.0,2.0,2.0,0,30.0,8.0,93.0,10.0,9.0,10.0,10.0,9.0,10.0,120.0
7.0,24,16,37.792941231143644,-122.40658665179991,8,2,1.0,2.5,1.0,2.0,0,30.0,13.0,96.0,9.0,8.0,10.0,10.0,10.0,9.0,29.0
1.0,7,6,37.76101577309625,-122.43005445179885,6,1,1.0,1.0,1.0,1.0,0,1.0,390.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,125.0
2.0,10,9,37.80591171956485,-122.40829886506623,6,0,4.0,1.0,1.0,2.0,0,30.0,3.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,275.0
1.0,15,12,37.77540807544541,-122.4114224310228,0,0,8.0,2.0,2.0,2.0,0,3.0,65.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,500.0
1.0,25,17,37.76333989510342,-122.46947555681659,1,0,6.0,3.0,3.0,4.0,0,7.0,7.0,100.0,10.0,10.0,10.0,9.0,10.0,10.0,480.0
4.0,2,0,37.7681347587221,-122.44493597270328,0,0,5.0,1.0,3.0,3.0,0,30.0,79.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,170.0
1.0,7,6,37.75886842493242,-122.4356477818782,0,0,3.0,1.0,1.0,2.0,0,3.0,125.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,328.0
1.0,1,13,37.73350146647724,-122.42868148121329,0,0,4.0,1.0,0.0,2.0,0,3.0,113.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,140.0
10.0,2,0,37.76608594076294,-122.45126197318658,1,1,2.0,4.0,1.0,1.0,0,32.0,10.0,86.0,8.0,7.0,10.0,9.0,10.0,8.0,65.0
1.0,26,18,37.80356039109715,-122.42588865524273,0,0,4.0,1.0,2.0,2.0,0,4.0,64.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,305.0
3.0,1,1,37.7470780993027,-122.42456382413224,1,1,2.0,1.0,1.0,1.0,0,1.0,186.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,102.0
1.0,10,9,37.798353944016526,-122.40419704528624,0,0,3.0,1.0,1.0,1.0,0,30.0,39.0,90.0,9.0,8.0,10.0,10.0,10.0,9.0,300.0
1.0,15,19,37.7728428945825,-122.39686539739071,0,0,6.0,2.0,3.0,3.0,0,180.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,500.0
1.0,7,6,37.75822672204274,-122.43273310309284,1,1,2.0,1.0,1.0,1.0,0,5.0,49.0,99.0,10.0,9.0,10.0,10.0,10.0,10.0,150.0
2.0,1,1,37.738735662423146,-122.41623805097367,0,1,2.0,1.0,1.0,1.0,0,2.0,118.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,90.0
1.0,9,8,37.78470578372941,-122.48124967080864,0,0,4.0,1.0,2.0,2.0,0,5.0,159.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,350.0
9.0,16,11,37.79335720433158,-122.42506231886728,0,1,1.0,1.0,1.0,1.0,0,30.0,113.0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,56.0
1.0,4,1,37.764087334815436,-122.41658968757609,9,0,6.0,2.0,2.0,3.0,0,2.0,112.0,96.0,10.0,10.0,10.0,9.0,9.0,9.0,395.0
1.0,7,6,37.76787021889577,-122.4317221978979,0,0,6.0,1.0,2.0,4.0,0,4.0,15.0,99.0,10.0,9.0,10.0,10.0,10.0,10.0,275.0
7.0,4,1,37.76202211098672,-122.41876038242056,0,0,4.0,1.0,2.0,2.0,0,30.0,115.0,94.0,9.0,9.0,10.0,9.0,9.0,9.0,179.0
1.0,5,4,37.7619953856549,-122.39391467062444,2,1,2.0,1.0,1.0,1.0,0,3.0,178.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0
4.0,16,3,37.79485583831766,-122.43042031777635,0,0,6.0,1.0,3.0,4.0,0,30.0,114.0,89.0,9.0,9.0,10.0,10.0,10.0,9.0,250.0
1.0,9,8,37.77760606429601,-122.50378426358351,0,0,2.0,1.0,1.0,1.0,0,4.0,161.0,94.0,10.0,10.0,10.0,10.0,9.0,9.0,149.0
5.0,22,2,37.74159258435915,-122.46578197080093,1,1,2.0,1.0,1.0,1.0,0,4.0,291.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,69.0
1.0,7,6,37.76193630172387,-122.43239202855298,1,0,4.0,1.0,1.0,2.0,0,4.0,139.0,96.0,10.0,9.0,10.0,9.0,10.0,9.0,240.0
1.0,2,0,37.76827235107756,-122.44678432093525,0,0,4.0,1.0,1.0,1.0,0,30.0,149.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,185.0
2.0,16,3,37.79086384924025,-122.44339388740411,0,1,1.0,1.0,1.0,1.0,0,3.0,30.0,97.0,9.0,10.0,10.0,10.0,10.0,9.0,135.0
35.0,21,20,37.79018403099442,-122.40474841078853,0,0,2.0,1.0,0.0,2.0,0,30.0,24.0,87.0,9.0,9.0,9.0,10.0,10.0,9.0,110.0
35.0,21,20,37.790763899804475,-122.40402958480205,0,0,2.0,1.0,0.0,2.0,0,30.0,46.0,95.0,10.0,10.0,9.0,10.0,9.0,9.0,135.0
1.0,18,0,37.77556129112249,-122.45497960310253,6,1,4.0,2.0,1.0,2.0,0,1.0,105.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,140.0
3.0,18,10,37.77818014233496,-122.45420265281115,1,0,2.0,1.0,1.0,1.0,0,5.0,107.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,178.0
1.0,10,9,37.802696856910856,-122.41061140549535,0,0,7.0,2.0,4.0,5.0,0,3.0,13.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,750.0
2.0,1,1,37.74530647307225,-122.41121805875476,6,0,4.0,1.0,2.0,2.0,0,3.0,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0
1.0,13,7,37.73625671585987,-122.43676966002099,1,0,4.0,1.0,2.0,2.0,0,3.0,159.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,220.0
4.0,4,1,37.757567277655575,-122.41939471332492,0,1,1.0,2.0,1.0,1.0,0,3.0,80.0,97.0,10.0,9.0,10.0,10.0,10.0,9.0,75.0
2.0,1,1,37.7385639177761,-122.41687108462861,0,1,2.0,1.0,1.0,1.0,0,2.0,128.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
2.0,26,18,37.8031780774682,-122.42977370463731,0,0,2.0,1.0,1.0,1.0,0,5.0,27.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
1.0,2,0,37.77310912173779,-122.44978613353845,0,0,2.0,1.0,1.0,1.0,2,2.0,332.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,138.0
1.0,1,1,37.73725508735969,-122.41081112126167,1,1,2.0,1.0,1.0,1.0,0,30.0,31.0,94.0,9.0,8.0,10.0,10.0,9.0,10.0,85.0
1.0,1,1,37.745567369847535,-122.41187307695988,0,1,2.0,1.5,1.0,1.0,0,3.0,156.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
1.0,26,18,37.797048077780524,-122.44706767177843,0,0,4.0,1.0,1.0,2.0,0,3.0,28.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,190.0
1.0,23,15,37.73522574618142,-122.39437925065658,1,1,5.0,1.5,1.0,2.0,0,2.0,338.0,88.0,9.0,9.0,10.0,10.0,8.0,9.0,112.0
4.0,5,4,37.76487422024667,-122.39762672259354,7,0,2.0,1.0,1.0,1.0,0,1.0,568.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,220.0
21.0,24,16,37.79290806707531,-122.4063745666461,8,2,1.0,2.5,1.0,1.0,0,30.0,3.0,80.0,8.0,8.0,10.0,9.0,10.0,8.0,29.0
1.0,8,7,37.744458920842575,-122.43775665670209,1,0,8.0,1.0,3.0,5.0,0,2.0,268.0,96.0,10.0,9.0,10.0,10.0,9.0,9.0,295.0
1.0,12,16,37.790327482893005,-122.41208518907717,0,0,2.0,1.0,1.0,1.0,0,2.0,78.0,96.0,9.0,9.0,10.0,10.0,10.0,9.0,199.0
5.0,9,8,37.78264838532081,-122.48971185845508,0,1,1.0,2.5,1.0,1.0,0,30.0,25.0,96.0,10.0,9.0,10.0,10.0,9.0,9.0,75.0
1.0,17,9,37.80242099129454,-122.41440194674655,1,0,2.0,1.0,1.0,1.0,0,3.0,377.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,165.0
6.0,2,0,37.77118401756118,-122.44962559309752,1,1,2.0,2.0,1.0,1.0,0,1.0,300.0,93.0,10.0,9.0,10.0,10.0,9.0,9.0,92.0
1.0,7,6,37.763286760644256,-122.43734637020918,0,0,4.0,1.0,1.0,2.0,0,3.0,37.0,95.0,10.0,9.0,10.0,9.0,10.0,9.0,135.0
1.0,0,3,37.78125053033737,-122.44261486416457,6,0,4.0,1.0,1.0,2.0,0,25.0,10.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,189.0
1.0,4,12,37.76745760078517,-122.42323618841762,0,1,2.0,1.5,1.0,1.0,0,3.0,127.0,92.0,10.0,8.0,10.0,10.0,9.0,9.0,120.0
6.0,2,0,37.771078858413105,-122.44941835017579,1,1,4.0,2.0,1.0,2.0,0,2.0,285.0,90.0,9.0,9.0,10.0,9.0,9.0,9.0,98.0
